date,time,platform,account_id,display_name,follower_count,account_type,content_type,action_taken,comment_text,post_url,notes
2026-02-09,21:30,instagram,@turn.studio,the cozy lofi,unknown,profile,pottery/ceramics,follow+like+comment,"the random color combos on these are so fun, love that you're leaning into it",https://www.instagram.com/p/DUYgwfmlNmO/,rainbow stencil mug design. great engagement. uses mayco glazes and nabertherm kiln
2026-02-09,21:32,instagram,@zoegrenaudier,Jean Ferrat,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DSnJhFzDP8E/,french ceramicist. large thrown vases. beautiful earthenware
2026-02-09,21:34,instagram,@izzy_home_designs,Izzy Designer & Artist,762,profile,home design/handmade,follow+like,,https://www.instagram.com/p/DRB9tdmEibX/,sydney based textile designer and UGC creator. adjacent lifestyle audience
2026-02-09,21:36,instagram,@livingkiln,livingkiln,unknown,profile,pottery/ceramics,follow+like,,https://www.instagram.com/p/DSSst45ARg5/,verified. whimsical functional ceramics (berry strainers). small biz. very genuine caption style
2026-02-09,21:38,instagram,@lucky_rabbit_co,lucky_rabbit_co,unknown,profile,pottery/ceramics,follow+like+comment,"that progress in under a year is wild, the vessel at the end is so clean",https://www.instagram.com/p/DS5r_V1EbpZ/,pottery progress post. very genuine and personal. good community engagement
2026-02-11,,Facebook,emilywelchstyle,Emily Welch Style,,Page,Reel,Love,,https://www.facebook.com/reel/,Galentines charm party - DIY crafting tablescape
2026-02-11,,Facebook,emilywelchstyle,Emily Welch Style,,Page,Reel,Follow,,https://www.facebook.com/reel/,
2026-02-11,,Facebook,jessicasotelo,Jessica Sotelo,,Page,Reel,Like,,https://www.facebook.com/reel/2083465019108799,Heart boxes with berries - Valentine gift prep
2026-02-11,,Facebook,jessysdreamhouse,Jessys Dream House,,Page,Reel,Love,,https://www.facebook.com/reel/2143856076419150,Pink aesthetic kitchen tour
2026-02-11,,Facebook,jessysdreamhouse,Jessys Dream House,,Page,Reel,Follow,,https://www.facebook.com/reel/2143856076419150,
2026-02-11,,Facebook,jessysdreamhouse,Jessys Dream House,,Page,Reel,Comment,"The way everything coordinates down to the mugs and the dish rack is so satisfying. This kitchen feels like a whole mood.",https://www.facebook.com/reel/2143856076419150,
2026-02-11,,Facebook,themagnoliamercantile,The Magnolia Mercantile,,Page,Reel,Love,,https://www.facebook.com/reel/1268827865155437,Spring gift in a mug - blue floral ceramic mugs
2026-02-11,,Facebook,themagnoliamercantile,The Magnolia Mercantile,,Page,Reel,Follow,,https://www.facebook.com/reel/1268827865155437,
2026-02-11,,Facebook,themagnoliamercantile,The Magnolia Mercantile,,Page,Reel,Comment,"The mug itself is gorgeous, and wrapping it all together with the gingham ribbon takes it to a whole other level. What a thoughtful gift idea.",https://www.facebook.com/reel/1268827865155437,
2026-02-11,,Facebook,thevettelfarm,The Vettel Farm,,Page,Reel,Like,,https://www.facebook.com/reel/1735837761135982,DIY vintage hankie garland on mantel
2026-02-11,,Facebook,thevettelfarm,The Vettel Farm,,Page,Reel,Follow,,https://www.facebook.com/reel/1735837761135982,
2026-02-11,,Facebook,maddie.east,Maddie.east,,Page,Reel,Like,,https://www.facebook.com/reel/25764868213174773,HomeGoods spring bunny towels and home finds
2026-02-11,,Facebook,maddie.east,Maddie.east,,Page,Reel,Follow,,https://www.facebook.com/reel/25764868213174773,
2026-02-11,,Facebook,thechicishchick,The Chicish Chick,,Page,Reel,Love,,https://www.facebook.com/reel/1432800281858053,Valentine treat cones and Bloody Marys in mason jars
2026-02-11,,Facebook,thechicishchick,The Chicish Chick,,Page,Reel,Follow,,https://www.facebook.com/reel/1432800281858053,
